root	surfaces	lex	Anlam	active	Id	flags	rules	Ekler	AltTür	Dil	BüyükHarf	FY_EDILGEN_(U)n	FY_EDILGEN_Ul	Geçişlilik	E-hali
ab					ISIM	isim				Farsça	Hayır				
aba					ISIM	isim				Türkçe	Hayır				
aba					ISIM	isim				Arapça	Hayır				
abadi					ISIM	isim				Farsça	Hayır				
abajur					ISIM	isim				Fransızca	Hayır				
abaküs					ISIM	isim			matematik	Fransızca	Hayır				
aban					FIIL	fiil				Türkçe					
Abana					ISIM	özel			ilçe	Türkçe	Evet				
abandone					SIFAT	sıfat			spor	Fransızca	Hayır				
abani					ISIM	isim				Arapça	Hayır				
abanoz					ISIM	isim				Farsça	Hayır				
abanozgiller					ISIM	isim			bitki bilimi	Farsça	Hayır				
abart					FIIL	fiil, ettirtgen_t				Türkçe	Hayır				
abartı					ISIM	isim				Türkçe	Hayır				
abartma					ISIM	isim, kök_değil									
abaşo					ISIM	isim			denizcilik	Rumca	Hayır				
abat					SIFAT	sıfat				Farsça	Hayır				
Abaza					OZEL	özel			halk	Türkçe	Evet				
abazan					SIFAT	sıfat				Türkçe	Hayır				
Abbas					OZEL	özel			erkek ismi	Arapça	Evet				
abdal					ISIM	isim				Arapça	Hayır				
Abdal					OZEL	özel			tarih/oymak ismi	Arapça	Evet				
abdest					ISIM	isim			din bilgisi	Farsça	Hayır				
abdestbozan					ISIM	isim			hayvan bilimi	Fa-Tr	Hayır				
abdesthane					ISIM	isim				Farsça	Hayır				
abdiaciz		abdiâciz			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
abdiâciz					ISIM	isim, şapkalı				Arapça	Hayır				
abdülleziz					ISIM	isim			bitki bilimi	Arapça	Hayır				
abe					UNLEM	ünlem				Türkçe	Hayır				
abece					ISIM	isim			dil bilgisi	Türkçe	Hayır				
aberasyon					ISIM	isim			gök bilimi	Fransızca	Hayır				
abes					SIFAT	sıfat				Arapça	Hayır				
Abhazca					ISIM	isim, sıfat			lisan		Evet				
Abhazya					OZEL	özel			ülke						
abıhayat					ISIM	isim				Fa-Ar	Hayır				
abıkevser					ISIM	isim				Fa-Ar	Hayır				
abi					ISIM	isim				Türkçe	Hayır				
abide					ISIM	isim			mimarlık	Arapça	Hayır				
abidevi					SIFAT	sıfat				Arapça	Hayır				
abis					ISIM	isim			coğrafya	Fransızca	Hayır				
abiye					ISIM	isim				Fransızca	Hayır				
abla					ISIM	isim				Türkçe	Hayır				
ablak	ablağ				SIFAT	sıfat	YUMUSAMA_kğ			Arapça	Hayır				
