root	surfaces	lex	active	Id	flags	rules	Anlam
AA		aa		KISALTMA	kısaltma	OKUNUSDAN_YAZILISA	Anadolu Ajansı
Google		guugıl		OZEL	alıntı	OKUNUSDAN_YAZILISA	
AB		abe		KISALTMA	kısaltma	OKUNUSDAN_YAZILISA	Avrupa Birliği
MHP		mehepe		KISALTMA		OKUNUSDAN_YAZILISA	Milliyetçi Hareket Partisi
AAFSE		aafesee	F	KISALTMA		OKUNUSDAN_YAZILISA	Güney Avrupa Müttefik Hava Kuvvetleri (Allied Air Forces Southern Europe)
AAM		aame	F	KISALTMA		OKUNUSDAN_YAZILISA	Atatürk Araştırma Merkezi
ABD		abede		KISALTMA		OKUNUSDAN_YAZILISA	Amerika Birleşik Devletleri
ABS		abese		KISALTMA		OKUNUSDAN_YAZILISA	Motorlu taşıtlarda fren sistemi (Antilock Braking System)
ADSL		eydiesel		KISALTMA		OKUNUSDAN_YAZILISA	Asimetrik sayısal abone hattı (Asymmetric Digital Subscriber Line)
AET		aete		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Ekonomik Topluluğu
AFP		afepe		KISALTMA		OKUNUSDAN_YAZILISA	Fransız Basın Ajansı (Agence France Press)
age.		adı geçen eser		KISALTMA_NOKTALI			Adı geçen eser
AGİK		agik		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Güvenlik ve İş Birliği Konferansı
AGİT		agit		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Güvenlik ve İş Birliği Teşkilatı
agm.		adı geçen makale		KISALTMA_NOKTALI		OKUNUSDAN_YAZILISA	Adı geçen makale
agy.		adı geçen yayın		KISALTMA_NOKTALI			Adı geçen yayın
AI			F	KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Af Teşkilatı (Amnesty International)
AID			F	KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Kalkınma Ajansı (Agency for International Development)
AIDS		eyts		KISALTMA		OKUNUSDAN_YAZILISA	Edinilmiş bağışıklık yetersizliği belirtisi (Acquired immune deficiency syndrome)
AİHM		aiheme		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa İnsan Hakları Mahkemesi
AİHS		aihese		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa İnsan Hakları Sözleşmesi
AK		ake		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Konseyi
AKBİL		akbil		KISALTMA		OKUNUSDAN_YAZILISA	Akıllı bilet
AKDTYK		akedeteyeka	F	KISALTMA		OKUNUSDAN_YAZILISA	Atatürk Kültür, Dil ve Tarih Yüksek Kurumu
AKM		akeme		KISALTMA		OKUNUSDAN_YAZILISA	Atatürk Kültür Merkezi
AKPM		akepeme		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Konseyi Parlamenterler Meclisi
AKUT		akut		KISALTMA		OKUNUSDAN_YAZILISA	Arama Kurtarma Teşkilatı
Alb.		albay		KISALTMA_NOKTALI			Albay
Alm.		almanca		KISALTMA_NOKTALI			Almanca
anat.		anatomi	F	KISALTMA_NOKTALI			Anatomi
ant.		antropoloji		KISALTMA_NOKTALI			Antropoloji
AO		ao		KISALTMA		OKUNUSDAN_YAZILISA	Anonim ortaklık
AOÇ		aoçe		KISALTMA		OKUNUSDAN_YAZILISA	Atatürk Orman Çiftliği
AÖF		aöfe		KISALTMA		OKUNUSDAN_YAZILISA	Açıköğretim Fakültesi
AP		ape		KISALTMA		OKUNUSDAN_YAZILISA	ABD Haber Ajansı (Associated Press)
APS		apese		KISALTMA		OKUNUSDAN_YAZILISA	Acele Posta Servisi
Apt.		apartmanı		KISALTMA_NOKTALI			Apartman, apartmanı
Ar.		arapça		KISALTMA_NOKTALI			Arapça
ARGE		arge		KISALTMA		OKUNUSDAN_YAZILISA	Araştırma geliştirme
Arş. Gör.		Araştırma Görevlisi		KISALTMA_NOKTALI			Araştırma Görevlisi
ark.		Arkeoloji		KISALTMA_NOKTALI			Arkeoloji
As.		askerî		KISALTMA_NOKTALI			Asker, askerî, askerlik
Asb.		Astsubay		KISALTMA_NOKTALI			Astsubay
ASELSAN		aselsan		KISALTMA		OKUNUSDAN_YAZILISA	Askerî Elektronik Sanayii
As. İz.		Askerî İnzibat		KISALTMA_NOKTALI			Askerî İnzibat
ASKİ		aski		KISALTMA		OKUNUSDAN_YAZILISA	Ankara Su ve Kanalizasyon İdaresi
ASO		aso		KISALTMA		OKUNUSDAN_YAZILISA	Ankara Sanayi Odası
AST		asete		KISALTMA		OKUNUSDAN_YAZILISA	Ankara Sanat Tiyatrosu
astr.		Astronomi		KISALTMA_NOKTALI			Astronomi
astrol.		Astroloji		KISALTMA_NOKTALI			Astroloji
AŞ		aşe		KISALTMA		OKUNUSDAN_YAZILISA	Anonim şirket
AŞTİ		aşti		KISALTMA		OKUNUSDAN_YAZILISA	Ankara Şehirler Arası Terminal İşletmesi
AT		ate		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Topluluğu
Atğm.		Asteğmen		KISALTMA_NOKTALI			Asteğmen
atm.		Atmosfer		KISALTMA_NOKTALI			Atmosfer
ATO		ato		KISALTMA		OKUNUSDAN_YAZILISA	Ankara Ticaret Odası
AÜ		aü		KISALTMA		OKUNUSDAN_YAZILISA	Anadolu Üniversitesi, Ankara Üniversitesi, Atatürk Üniversitesi
Av.		Avukat		KISALTMA_NOKTALI			Avukat
BAE		beae		KISALTMA		OKUNUSDAN_YAZILISA	Birleşik Arap Emirlikleri
bağ.		Bağlaç		KISALTMA_NOKTALI			Bağlaç
BAĞ-KUR		bağkur		KISALTMA		OKUNUSDAN_YAZILISA	Esnaf ve Sanatkârlar ve Diğer Bağımsız Çalışanlar Sosyal Sigortalar Kurumu
BBC		bibisi		KISALTMA		OKUNUSDAN_YAZILISA	İngiliz Radyo Televizyon Kurumu (British Broadcasting Corporation)
BCG		becege		KISALTMA		OKUNUSDAN_YAZILISA	Verem aşısı (Bacillus Calmette Guèrin)
Bçvş.		Başçavuş		KISALTMA_NOKTALI			Başçavuş
BDDK		bededeka		KISALTMA		OKUNUSDAN_YAZILISA	Bankacılık Düzenleme ve Denetleme Kurulu
BDT		bedete		KISALTMA		OKUNUSDAN_YAZILISA	Bağımsız Devletler Topluluğu
bitb.		Bitki bilimi		KISALTMA_NOKTALI			Bitki bilimi
biy.		Biyoloji		KISALTMA_NOKTALI			Biyoloji
bk.		Bakınız		KISALTMA_NOKTALI			Bakınız
Bl.		Bölük		KISALTMA_NOKTALI			Bölük
bl.		Bilişim		KISALTMA_NOKTALI			Bilişim
BM		beme		KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler
Bn.		Bayan		KISALTMA_NOKTALI			Bayan
Bnb.		Binbaşı		KISALTMA_NOKTALI			Binbaşı
bot.		Botanik		KISALTMA_NOKTALI			Botanik
BOTAŞ		botaş		KISALTMA		OKUNUSDAN_YAZILISA	Boru Hatları ile Petrol Taşıma Anonim Şirketi
Böl.		Bölüm		KISALTMA_NOKTALI			Bölüm
bs.		basım		KISALTMA_NOKTALI			Baskı, basım
Bşk.		başkanlığı		KISALTMA_NOKTALI			Başkan, başkanlık, başkanı, başkanlığı
BUE		beue	F	KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Birliği Bankası (Bank of Union European)
Bul.		bulvarı		KISALTMA_NOKTALI			Bulvar, bulvarı
Bulg.		Bulgarca		KISALTMA_NOKTALI			Bulgarca
BÜ		beü		KISALTMA		OKUNUSDAN_YAZILISA	Boğaziçi Üniversitesi
Cad.		Cadde, caddesi		KISALTMA_NOKTALI			Cadde, caddesi
CAEC			F	KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Konseyi Parlamenter Meclisi (Consultative Assembly of European Council)
cal		kalori		KISALTMA	birim	OKUNUSDAN_YAZILISA	Kalori
CAO				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Sivil Havacılık Örgütü (Civil Aviation Organization)
CC			F	KISALTMA		OKUNUSDAN_YAZILISA	Konsolosluk birimi (Corps Consulaire)
CD			F	KISALTMA		OKUNUSDAN_YAZILISA	Kordiplomatik (Corps Diplomatique)
CDH			F	KISALTMA		OKUNUSDAN_YAZILISA	Avrupa İnsan Hakları Adalet Divanı (Cour Europeenne des Droits de l’Homme)
CE			F	KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Konseyi (Council of Europe)
CENTO				KISALTMA		OKUNUSDAN_YAZILISA	Merkezî Antlaşma Örgütü (Central Treaty Organization)
CIA		siayey		KISALTMA		OKUNUSDAN_YAZILISA	ABD Merkezî Haber Alma Teşkilatı (Central Intelligence Agency)
CIF				KISALTMA		OKUNUSDAN_YAZILISA	Maliyet-sigorta-navlun (cost, insurance, freight)
CIOS				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Bilimsel Organizasyon Konseyi (Conseil International pour l’Organisation Scientifique)
CIP				KISALTMA		OKUNUSDAN_YAZILISA	Taşıma ve sigorta bedeli ödenmiş olarak teslim
CIP				KISALTMA		OKUNUSDAN_YAZILISA	Ticaretle uğraşan önemli kişiler (Commercially Important Person)
cm		Santimetre		KISALTMA		OKUNUSDAN_YAZILISA	Santimetre
CMUK		cımuk		KISALTMA		OKUNUSDAN_YAZILISA	Ceza Muhakemeleri Usulü Kanunu
CNRS				KISALTMA		OKUNUSDAN_YAZILISA	Ulusal Bilimsel Araştırma Merkezi (Centre National de la Recherche Scientifique)
coğ.		Coğrafya		KISALTMA_NOKTALI			Coğrafya
