root	surfaces	lex	active	Id	flags	rules	Anlam
AA		aa		KISALTMA	kısaltma	D_OKUNUSDAN_YAZILISA	Anadolu Ajansı
Google		guugıl		ALINTI	alıntı	D_OKUNUSDAN_YAZILISA	
AB		abe		KISALTMA	kısaltma	D_OKUNUSDAN_YAZILISA	Avrupa Birliği
AAFSE		aafesee	F	KISALTMA		D_OKUNUSDAN_YAZILISA	Güney Avrupa Müttefik Hava Kuvvetleri (Allied Air Forces Southern Europe)
AAM		aame	F	KISALTMA		D_OKUNUSDAN_YAZILISA	Atatürk Araştırma Merkezi
ABD		abede		KISALTMA		D_OKUNUSDAN_YAZILISA	Amerika Birleşik Devletleri
ABS		abese		KISALTMA		D_OKUNUSDAN_YAZILISA	Motorlu taşıtlarda fren sistemi (Antilock Braking System)
ADSL		eydiesel		KISALTMA		D_OKUNUSDAN_YAZILISA	Asimetrik sayısal abone hattı (Asymmetric Digital Subscriber Line)
AET		aete		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Ekonomik Topluluğu
AFP		afepe		KISALTMA		D_OKUNUSDAN_YAZILISA	Fransız Basın Ajansı (Agence France Press)
age.		adı geçen eser		NOKTALI			Adı geçen eser
AGİK		agik		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Güvenlik ve İş Birliği Konferansı
AGİT		agit		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Güvenlik ve İş Birliği Teşkilatı
agm.		adı geçen makale		NOKTALI		D_OKUNUSDAN_YAZILISA	Adı geçen makale
agy.		adı geçen yayın		NOKTALI			Adı geçen yayın
AI			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Af Teşkilatı (Amnesty International)
AID			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Kalkınma Ajansı (Agency for International Development)
AIDS		eyts		KISALTMA		D_OKUNUSDAN_YAZILISA	Edinilmiş bağışıklık yetersizliği belirtisi (Acquired immune deficiency syndrome)
AİHM		aiheme		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa İnsan Hakları Mahkemesi
AİHS		aihese		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa İnsan Hakları Sözleşmesi
AK		ake		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Konseyi
AKBİL		akbil		KISALTMA		D_OKUNUSDAN_YAZILISA	Akıllı bilet
AKDTYK		akedeteyeka	F	KISALTMA		D_OKUNUSDAN_YAZILISA	Atatürk Kültür, Dil ve Tarih Yüksek Kurumu
AKM		akeme		KISALTMA		D_OKUNUSDAN_YAZILISA	Atatürk Kültür Merkezi
AKPM		akepeme		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Konseyi Parlamenterler Meclisi
AKUT		akut		KISALTMA		D_OKUNUSDAN_YAZILISA	Arama Kurtarma Teşkilatı
Alb.		albay		NOKTALI			Albay
Alm.		almanca		NOKTALI			Almanca
anat.		anatomi	F	NOKTALI			Anatomi
ant.		antropoloji		NOKTALI			Antropoloji
AO		ao		KISALTMA		D_OKUNUSDAN_YAZILISA	Anonim ortaklık
AOÇ		aoçe		KISALTMA		D_OKUNUSDAN_YAZILISA	Atatürk Orman Çiftliği
AÖF		aöfe		KISALTMA		D_OKUNUSDAN_YAZILISA	Açıköğretim Fakültesi
