root	surfaces	lex	type	active	Id	flags	rules	Dil	anlam
Âbad			E		OZEL	özel, ad		PE	Şen, bayındır. 
Âbadî			E		OZEL	özel, ad		PE	Şen, bayındır, mamurlukla ilgili. Abadı Mehmet Çe­lebi. Türk hukuk bilgini(1555).
Abakahan			E		OZEL	özel, ad		TR	İlhanlı hü­kümdarı Hülagu'nun oğlu.
Abay			E		OZEL	özel, ad		TR	Beceri. Sezgi, an­layış, dikkat. Abay Kunanbayoğlu. Kazak Türk şiirinin kurucusu.
Abaza			E		OZEL	özel, ad		TR	Karaçay-Çerkes Özerk bölgesinde yaşayan müslüman bir halk.Abaza Hasan Paşa, Os­manlı vezirlerinden.
Abbad			E		OZEL	özel, ad		AR	Allaha itaat ve ibadet eden, kulluğunu hakkıyla yeri­ne getiren. Yasaklarından kaçınan. -Abbad b. Bişr. Ashab'dan.
Abbas			E		OZEL	özel, ad		AR	Sert, çatık kaşlı kimse. 
Abbase			K		OZEL	özel, ad		AR	Sert, çatık kaşlı kimse. 
Abbaz			E		OZEL	özel, ad		PE	Yüzgeç, yüzücü.
Âbdar			K		OZEL	özel, ad		PE	Sulu, taze. 
Abdi			E		OZEL	özel, ad		AR	Kulluk ve itaat eden.
Abdullah			E		OZEL	özel, ad		AR	Allah'ın ku­lu. Peygamber(s.a.s)'in en sevdiği isimlerden aynı zamanda babasının adıdır.
Abdülmelik			E		OZEL	özel, ad		AR	Her şey üzerinde tasarruf ve hükmeden tek hükümdar Allah'ın kulu. el-Melik, Allah'ın isimlerindendir.
Abdurrahman			E		OZEL	özel, ad		AR	Rahman'ın kulu. Rahman; dünyada her canlıya, mü'min-kafir ayırdelmeksizin herkese merhamet eden. Allah'ın isimlerindendir. Abdurrahman İbn Avf
Abdurrauf			E		OZEL	özel, ad		AR	Rauf olan Allah'ın kulu.(bkz. er-Rauf).
Abdussabur			E		OZEL	özel, ad		AR	Sonsuz sabır ve genişlik sahibi Allah'ın kulu. Allah'ın isimlerinden,(bkz. es-Sabur).
Abdüddar			E		OZEL	özel, ad		AR	Zararlı şeyleri ve sebeblerini bir hikmete mebni olarak yaratan Allah'ın kulu. ed-Dar. Allah'ın isimlerindendir.
Abdülafuv			E		OZEL	özel, ad		AR	Geniş Avf ve mağfiret sahibi yüce Allah'ın kulu. Allah'ın isimlerinden, (bkz. el-Afuv).
Abdülâlâ			E		OZEL	özel, ad		AR	En yüksek, en yüce ve yücelikte eşi olmayan Allah'ın kulu. A'la kelimesi Kur'an-ı Kerim'in sıfatı olarak geçmektedir. Ünlü bir İslam bilgini.
Abdülâli			E		OZEL	özel, ad		AR	Yüce, ulu, şan ve şeref sahibi Allah'ın kulu. Ali kelimesi Kur'an'da Allah'ın yüceliğini vasfetme anlamında kullanılmıştır.
Abdülalîm			E		OZEL	özel, ad		AR	Alim ve mükemmel bilgiyi uhdesinde bulun­duran Allah'ın kulu. Alim kelimesi Allah'ın 99 isminden birisidir.
Abdülazim			E		OZEL	özel, ad		AR	Azamet ve büyüklük sahibi Allah'ın kulu.Allah'ın isimlerinden,(bkz. el-Azim).
Abdülaziz			E		OZEL	özel, ad		AR	Büyük ve aziz olan, izzet ve şeref sahibi Allah'ın kulu.(bkz. Aziz). Aziz Allah'ın isimlerindendir.Sultan Abdülaziz
Abdülbaki			E		OZEL	özel, ad		AR	Sonsuz, ebedi olan ve ölmenin kendisi için sözkonusu olmadığı. Allah'ın kulu-Allah'ın isimlerinden,(bkz. Baki).
Abdülbari			E		OZEL	özel, ad		AR	Yaratan, yaratıcı Allah'ın kulu. Bari ismi, Allah'ın isimlerindendir. "Abd" takısı al­madan kullanılmaz.
Abdülbâsıt			E		OZEL	özel, ad		AR	Genişlik, ferahlık ve kolaylık verici olan Allah'ın kulu.Allah'ın isimlerinden(bkz. el-Basıt).
Abdülbasir			E		OZEL	özel, ad		AR	Her şeyi görüp gözeten ve gizliliğin kendisi için söz konusu olmadığı yüce Allah'ın kulu. -(bkz. el-Basir).
Abdülbedi			E		OZEL	özel, ad		AR	Allah'ın isimlerinden.- Bedi'nin kulu.(bkz. el-Bedi).
