id	lexicalForm	sub-type	type	Alt tür	Grup	flags	rules	surfaces	emptySurface	Zemberek Karşılığı	Oflazer Karşılığı	Örnekler	İstisnalar	Açıklama
IC_COGUL_lAr	lAr	NI	I	IC			DONUSUM_A, 	lar, ler, 		ISIM_COGUL_LER	NNI_PLU	kitaplar, kalemler	annemler, babamlar, balcılar, baharatçılar, Çinliler, Selçuklular, Osmanlılar, Bektaşîler, buğdaygiller, baklagiller	Çoğul eki genellikle isimlerin tekil hâline getirilir, başka çekim eklerinden sonra gelmez. Ancak "-gil" aile ismi eki yerine bazen iyelik eklerinden, CU, lU yapım eklerinden, nispet î'sinden, -gil ekinden veya oğul kelimesiyle yapılan birleşik kelimelerden sonra kullanılabilir: annemler, babamlar, Aydınoğulları, Osmanoğulları, balcılar, baharatçılar, Çinliler, Selçuklular, Osmanlılar, Bektaşîler, buğdaygiller, baklagiller...
IC_SAHIPLIK_BEN_(U)m	Um	NI	I	IC	ISIM_SAHIPLIK		DONUSUM_U, DUSME_UNLU, 	ım, im, um, üm, m, 		ISIM_SAHIPLIK_BEN_IM	NNI_POSS1s	kalemim, kitabım, köyüm, okulum, günlüğüm, masam	suyum, nem, neyim	su ve ne kelimeleri, ayrıca su kelimesi ile biten bileşik kelimeler için istisnai bir durum mevcut
IC_SAHIPLIK_SEN_(U)n	Un	NI	I	IC	ISIM_SAHIPLIK		DONUSUM_U, DUSME_UNLU, 	ın, in, un, ün, n, 		ISIM_SAHIPLIK_SEN_IN	NNI_POSS2s	kalemin, kitabın, köyün, okulun, günlüğün, masan	suyun, nen, neyin	su ve ne kelimeleri, ayrıca su kelimesi ile biten bileşik kelimeler için istisnai bir durum mevcut
IC_SAHIPLIK_O_(s)U	sU	NI	I	IC	ISIM_SAHIPLIK		DONUSUM_U, DUSME_UNSUZ, OZEL_N	sı, si, su, sü, ı, i, u, ü, 		ISIM_SAHIPLIK_O_I	NNI_POSS3s	kalemi, kitabı, nesi, köyü, okulu, günlüğü, masası, elbisesi, paltosu, pardesüsü	suyu,  birisi, kimisi, çoğusu,  neyi (nesi de olur)	Bu ekin diğer adı "tamlanan eki"dir. Üçüncü tekil şahıs iyelik eki kimi zaman üst üste gelebilir (Birisi, kimisi vs).  Zemberek'te bu ek ISIM_TAMLAMA_I ve ISIM_SAHIPLIK_O_I şeklinde iki ek olarak düşünülmüş ancak Leyla Karahan'ın "Türkçenin Söz Dizimi" isimli kitabına dayanarak tek bir ek olarak kabul ettik.
IC_SAHIPLIK_BIZ_(U)mUz	UmUz	NI	I	IC	ISIM_SAHIPLIK		DONUSUM_U, DUSME_UNLU, 	ımız, imiz, umuz, ümüz, mız, miz, muz, müz, 		ISIM_SAHIPLIK_BIZ_IMIZ	NNI_POSS1p	kalemimiz, kitabımız, okulumuz, günlüğümüz, masamız, elbisemiz, paltomuz, pardesümüz	suyumuz, nemiz, neyimiz	
IC_SAHIPLIK_SIZ_(U)nUz	UnUz	NI	I	IC	ISIM_SAHIPLIK		DONUSUM_U, DUSME_UNLU, 	ınız, iniz, unuz, ünüz, nız, niz, nuz, nüz, 		ISIM_SAHIPLIK_SIZ_INIZ	NNI_POSS2p	kaleminiz, kitabınız, okulunuz, günlüğünüz, masanız, elbiseniz, paltonuz, pardesünüz	 suyunuz, neniz, neyiniz	
IC_SAHIPLIK_ONLAR_lArI	lArI	NI	I	IC	ISIM_SAHIPLIK		DONUSUM_A, DONUSUM_I, OZEL_N	ları, leri, 		ISIM_SAHIPLIK_ONLAR_LERI	NNI_POSS3p	kitapları, kalemleri, masaları, neleri		
IC_HAL_YONELME_(y)A	yA	NI	I	IC	ISIM_HAL		DUSME_UNSUZ, DONUSUM_A, 	a, e, ya, ye, na, ne		ISIM_YONELME_E	NNI_DAT	kitaba, kaleme, masaya, elbiseye		
IC_HAL_BELIRTME_(y)U	yU	 	I	IC	ISIM_HAL		DUSME_UNSUZ, DONUSUM_U, 	yı, yi, yu, yü, ı, i, u, ü, nı, ni, nu, nü		ISIM_BELIRTME_I	NNI_OBJ	kitabı, kalemi, masayı, besteyi, okulu, paltoyu, pardesüyü, küpü		Bu belirtme hâli (akkuzatif) eki. 3. tekil şahıs iyelik eki ve bazı eklerden sonra ekin farklı bir versiyonu kullanılır.
IC_HAL_BULUNMA_DA	DA	NI	I	IC	ISIM_HAL		DONUSUM_D, DONUSUM_A, 	de, da, te, ta, nde, nda		ISIM_KALMA_DE	NNI_LOC	kitapta, kalemde, masada, küpte		
IC_HAL_AYRILMA_DAn	DAn	NI	I	IC	ISIM_HAL		DONUSUM_D, DONUSUM_A, 	den, dan, ten, tan, nden, ndan		ISIM_CIKMA_DEN	NNI_ABL	kitaptan, kalemden, masadan, küpten		
IC_HAL_ILGI_(n)Un	nUn	NI	I	IC	ISIM_HAL		DUSME_UNSUZ, DONUSUM_U, 	yin, yun, nın, nin, nun, nün, ın, in, un, ün, im		ISIM_TAMLAYAN_IN	NNI_GEN	kitabın, kalemin, okulun, suyun, günlüğün, küpün, masanın, elbisenin, paltonun, pardesünün		Bu eke ilgi hâli (genitif) veya "tamlayan eki" denilir.
IC_HAL_VASITA_(y)lA	ylA	NI	I	IC	ISIM_HAL		DUSME_UNSUZ, DONUSUM_A, 	yla, yle, la, le, 		ISIM_BIRLIKTELIK_LE	NNI_INC	kitapla, kalemle, masayla, elbiseyle		Bir kelimede bulunan vasıta hâli eki (y)lA anlama göre hâl eki veya "ile" bağlacı görevinde bulunabilir. İsmi "yüklem"e bağlar. İle edatının ekleşmiş hâlidir. Elle kopardı, suyla içti vs. İle bağlacı ise "ve" yerine kullanılır; iki isim yahut fiili birbirine bağlar. Suyla hava örneğinde yla (ile) bağlaçtır.
IC_AITLIK_ki	ki	NI	I	IC			OZEL_N	ki, kü		ISIM_BULUNMA_KI	NNI_REL	kitaptaki, kaleminki, masadaki, yerdekinden, anneminki, çocuğunki, bugünkü, dünkü, öbürkü		Bu ekin adı aitlik ekidir. "-ki" eki, çekim eklerinden sonra gelir ve iyelik eki gibi, yardımcı ses alabilir. Misal: yerdekinden. Buradaki ilk -n, yardımcı sestir.
KARAKTER_KESME	'		O				KESME_KALDIR, KESME_EKLE	'					Kesme işareti dik ve kıvrımlı olmak üzere iki şekilde kullanılabiliyor.	
